text,manual_label
Returns Policy,0
See all photos,0
5 star4 star3 star2 star1 star3 star,0
EnglishIndia,0
Thebest laptopanyone can get in the market,1
perfect screen size and lightweight,0
Amazon Customer,0
Weight,0
"2 Days, RefundRefunds are applicable only if determined that the item was not damaged while in your possession, or is not different from what was shipped to you.",0
Searchalt+/,0
"...The pros of this machine: 1.battery life, nothing comes close to apple silicon. 2. macos, love it, hate it....",0
More,0
2 star,0
Good Product. Still exploring technically. Minor shock while charging. Amazing Sound quality. Love the Bass effect. Great Picture Clarity....,0
shift+alt+D,0
...The pros of this machine: 1.,0
...-,0
Mobiles,0
Unable to add item to Wish List. Please try again.,0
Secure transaction,0
Sounds is very good Battery life great.,0
Quality(52),0
100% Purchase Protection,1
Retry,0
best laptop,0
Graphics Card Description,0
"I bought a 512 GB / 8 GB MAC model (Space Grey) Macbook Pro M1.Great product, faster than many MAC models....",0
MX Player,0
Cart,0
"This item is eligible for free replacement, within 7 days of delivery, in an unlikely event of damaged, defective or different item delivered to you.",1
"Home, Kitchen and Pets",0
"© 1996-2026, Amazon.com, Inc. or its affiliates",0
Returns Policy1 Year WarrantyTop BrandSecure transaction,0
...This is a,0
5 star4 star3 star2 star1 star1 star83%10%3%0%4%4%,0
Screen Size,0
Battery life(30),0
Click here to go back to the Amazon home page,0
"IMDbMovies, TV& Celebrities",0
0.61 inch (1.56 cm),0
Only if you need consistent high performance for prolonged period then buy this pro model else go with macbook air model,0
Amazon Global Selling,0
The return timelines for seller-fulfilled items sold on Amazon.in are equivalent to the return timelines mentioned above for items fulfilled by Amazon.,0
5 star4 star3 star2 star1 star5 star,0
"I was former user of Mackbook Pro and I was thinking, to change my old system due to new business standards but I was little hesitate in purchasing the Pro version due to its high cost.",0
Display,0
The best MacBook Pro to date,0
"**For products worth more than INR 25000, we only offer Self-Return option.",0
Sorry we couldn't load the reviewTry again,0
83%10%3%0%4%10%,0
(30),0
Battery: It sips battery life and I can easily last a day of extensive graphic designing and editing and a few hours worth of calls and still have a little below 50% left!,0
Screen quality(13),0
Reviewed in India on 5 April 2025,0
"Note: For seller fulfilled items from Books, Movies & TV Shows categories, the sellers need to be informed of the damage/ defect within 14 days of delivery.",0
Sell on Amazon,0
"-touch pad works well, doesn't affect your woek style",0
Custom Products,0
"13 customers mention value for money, 7 positive, 6 negative13 customers mention ""Value for money""7 positive6 negative",0
Sell,0
Really there are only some minor inconveniences here: There are only two Thunderbolt ports and a headphone jack. That is a limitation at times.,0
"...4.speed, with all it's m1 max and shared fast ram, formidable. 5. quick charging & magsafe port. 6....",0
24 positive,0
Home,0
83%10%3%0%4%0%,0
Car & Motorbike,0
More details,0
"but you can't expect more with this price -touch pad works well, doesn't affect your woek style...",0
Akash Kriplani,0
13 Inches,0
"13 customers mention ""Value for money""",0
Interest-Based Ads,0
...Super agile with mobility and weight.,0
So M1 chip is really making everything seems so fluid and fast.,0
shift+alt+H,0
Accessories,0
CPU Model,0
"13-inch MacBook Pro, 61W USB-C Power Adapter, USB-C Charge Cable (2 m)",0
7 positive,0
(42),0
"Video Games (Accessories and Games)10 Days ReturnableYou can ask for a replacement or refund if you receive a damaged, defective or incorrect product.",0
Editing 8k videos HDR content in final cut pro. Butter smooth editing experience even in best quality mode.,0
"For seller-fulfilled items from Sports collectibles and Entertainment collectibles categories, the sellers need to be informed of the damage / defect within 10 days of delivery.",0
Best investment ever.,0
Precious jewellery items need to be returned in the tamper free packaging that is provided in the delivery parcel. Returns in any other packaging will not be accepted.,0
and Apple must provide a free 3 pin adapter to avoid earthing issues.,0
Front camera though looks blurry in medium/low light,0
THE BATTERY IS A BEAST!!!! I last charged it to a 100% on the 27th of June and used it for about 2 to 3 hours everyday. I am still sitting at 22%. and that will carry me easily to Monday.,0
New Apple MacBook Pro 13-inch with Apple M1 Chip,0
"Watches30 Days, Returnable",0
This laptop has spoiled me.,0
Good Product,0
Make Money with Us,0
returning seller fulfilled items.,0
Additional Information,0
Facebook,0
value of money,0
Audible,0
-without Google search it is highly impossible at the beginning to work with mac but once you're familiar it's worth it,0
4.6 out of 5 stars4.6 out of 5,0
