text,pattern_type,trigger_keyword,is_dark_pattern,source_url,platform
General Return Policy,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Returns,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
...-,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
33.78cm (13.3-inch) Retina display with 500 nits of brightness for vibrant colors and incredible image detail,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Any luggage items with locks must be returned unlocked.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
I have been loving this machine so much that I doubt that I’m ever returning back to Windows!,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Sell under Amazon Accelerator,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Hide,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Return Policy,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
5 star,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Screen quality(13),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""...then I highly recommend you switch to Apple Silicon because these arefaster....""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
5 stars. I've been an apple customer for decades. This macbook is awesome – perfect monitor size and light enough to travel with.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Home & Kitchen,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
than they say Only 10 to 12 hrs.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Car tyres are non-returnable and hence, not eligible for return.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Reviewed in India on 16 May 2022,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Stream millions of songs,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Great product. However, wait for newer versions of M1",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Thank you for your feedback.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Homeshift+alt+H,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Headsets10 Days, ReplacementReturnable if you’ve received the product in a condition that is damaged, defective or different from its description on the product detail page on Amazon.in.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Currently unavailable.We don't know when or if this item will be back in stock.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Show/Hide shortcuts,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Interest-Based Ads,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Top BrandTop Brand indicates high quality, trusted brands on Amazon aggregated basis verified ratings, returns/refunds and recent order history at brand level.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
speed,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
